Ventas_Tienda_1,Ventas_Tienda_2,Ventas_Tienda_3
46.09,57.56,58.1
45.14,61.37,58.89
45.58,62.96,56.3
32.4,60.11,62.21
43.86,64.2,56.52
46.45,57.74,59.79
52.69,63.85,62.85
46.4,74.64,58.44
37.26,64.19,58.23
54.61,52.04,58.21
30.97,59.63,56.93
54.06,68.93,60.22
37.99,57.34,59.43
48.61,62.57,61.49
36.46,58.5,64.63
57.89,63.63,57.71
59.23,66.53,59.53
30.13,59.8,61.68
46.8,59.35,59.69
50.63,55.07,63.87
69.29,57.69,60.16
68.08,58.61,61.29
31.25,57.57,61.52
61.69,58.86,55.27
44.36,55.35,58.19
50.05,56.77,62.58
31.9,58.04,60.36
41.73,60.37,57.5
50.31,54.39,56.74
56.23,59.86,59.14
33.41,59.36,60.54
52.44,60.44,60.24
52.64,49.2,59.16
45.25,60.62,57.86
36.54,52.47,60.99
53.85,66.84,61.06
48.21,66.68,61.07
57.19,62.01,56.15
56.78,52.22,58.83
43.5,68.03,60.49
41.93,57.49,59.45
42.87,67.53,61.6
59.27,51.76,59.7
33.45,61.35,57.08
47.7,56.73,59.61
30.63,61.2,60.57
47.33,62.7,56.95
50.61,56.91,58.9
45.57,61.59,58.49
36.63,64.41,57.24
36.83,66.0,60.2
44.7,68.97,59.61
43.66,62.06,59.34
34.13,59.42,58.45
42.92,65.22,59.83
40.81,57.43,59.98
41.7,46.91,62.74
50.39,62.89,57.21
48.2,58.17,60.87
43.12,58.2,56.71
41.28,55.23,60.19
43.57,59.66,60.03
54.02,53.58,59.64
43.95,52.29,56.9
41.94,61.3,59.4
53.27,62.91,62.08
59.74,52.41,59.23
43.89,48.19,60.38
46.52,57.01,60.04
43.6,64.28,59.63
45.95,59.43,60.03
51.81,51.36,57.56
32.25,61.65,57.57
42.2,66.46,61.07
44.01,56.47,59.82
38.21,47.89,59.39
50.61,69.8,62.01
42.13,62.99,60.2
34.73,55.1,62.47
35.78,63.4,61.67
39.95,55.78,57.51
42.92,57.65,60.79
41.42,69.44,62.07
48.39,58.64,63.03
43.22,56.69,61.13
28.67,63.24,59.82
51.57,50.58,57.63
34.11,64.4,63.29
30.76,64.36,62.27
57.88,56.65,62.41
33.15,58.27,57.12
42.53,60.77,58.92
42.36,53.46,59.65
23.33,65.75,59.2
45.11,67.59,57.65
48.9,66.58,61.72
41.88,54.27,62.96
49.19,64.11,63.97
44.84,62.66,62.61
45.61,57.44,59.28
48.7,60.85,59.1
37.07,62.79,62.45
39.24,69.07,60.31
35.79,60.25,62.73
60.55,59.13,60.23
48.53,63.55,60.97
42.88,56.56,60.25
53.18,58.27,60.75
34.12,59.52,57.78
42.66,58.96,58.9
43.92,67.27,59.65
46.69,64.32,61.43
39.69,61.05,58.44
44.99,55.53,64.43
54.22,69.69,59.61
46.85,60.2,58.44
45.03,58.76,60.21
39.81,66.82,58.48
35.81,52.88,60.48
40.37,65.56,59.38
32.35,46.81,60.6
39.15,55.23,62.1
53.96,58.98,61.04
42.27,62.24,60.47
61.53,66.78,57.81
24.14,57.73,60.67
51.83,61.8,62.79
52.65,65.9,59.6
39.87,63.0,60.83
48.84,58.79,66.24
48.13,59.75,60.46
58.4,59.28,63.26
74.95,59.29,57.61
49.23,60.66,59.4
42.52,59.3,58.16
54.15,57.38,60.52
23.72,65.41,59.53
34.69,55.86,58.92
49.6,67.51,62.84
47.17,64.69,60.3
53.14,66.43,62.21
45.1,57.46,58.38
31.1,60.72,60.18
28.99,59.23,60.75
38.08,58.11,63.02
48.23,64.61,59.35
47.48,49.95,58.15
50.42,53.7,57.34
51.44,64.25,58.37
48.34,52.97,60.18
38.25,62.86,60.41
39.75,65.3,61.13
37.78,56.34,58.36
44.83,63.14,60.46
51.68,67.57,61.54
40.88,67.47,58.07
61.69,62.96,58.99
38.69,57.88,62.13
36.19,58.96,56.98
33.73,60.11,61.96
45.67,62.01,63.28
43.74,61.58,62.06
53.28,55.23,57.82
48.85,56.89,60.94
39.57,57.15,57.24
43.08,60.81,59.51
51.29,65.0,63.12
48.33,65.67,59.51
44.71,53.41,59.17
48.85,60.64,61.39
46.39,59.68,56.42
49.84,60.05,60.36
46.04,66.44,61.5
43.7,70.64,58.3
56.53,55.54,61.95
50.06,59.39,63.71
37.99,58.83,60.99
56.75,57.71,59.23
42.35,63.74,59.7
33.34,65.24,61.58
36.43,58.32,58.47
49.44,57.87,61.79
30.4,58.48,56.25
32.21,56.39,61.5
45.7,63.9,61.63
48.19,62.55,59.93
51.54,56.82,62.16
41.47,68.46,60.5
49.44,65.44,63.76
55.48,58.87,59.06
49.86,57.14,64.36
42.64,54.14,61.84
48.81,63.82,63.11
44.55,51.52,63.29
41.11,72.78,60.22
53.5,57.84,62.27
55.2,52.28,56.84
33.39,61.77,60.6
31.88,64.74,61.35
43.38,57.74,57.53
51.01,59.43,57.87
36.98,53.42,60.64
51.8,54.51,63.48
43.61,60.37,62.74
43.85,56.43,53.03
41.91,50.28,62.72
49.52,60.54,56.62
45.85,58.24,62.7
39.17,64.27,61.73
40.54,62.32,58.6
54.33,55.37,58.4
41.62,65.02,56.01
35.21,71.09,62.17
31.6,64.99,58.65
44.75,54.98,58.49
34.14,64.38,61.88
47.17,63.91,61.03
64.3,61.18,58.69
37.56,68.6,60.03
35.55,62.82,60.13
55.58,57.56,56.19
37.96,58.1,65.87
47.68,61.68,59.06
62.33,63.5,60.18
37.53,53.42,57.49
61.77,59.9,59.2
45.31,69.79,60.15
48.61,58.1,56.06
43.07,62.52,60.23
42.88,60.44,60.38
36.91,64.09,65.47
37.88,56.86,56.31
43.86,60.9,64.47
51.7,60.19,60.2
47.16,54.55,60.45
40.98,66.59,61.38
40.58,63.81,59.66
58.21,58.24,62.54
36.92,60.28,59.96
56.6,55.45,60.03
46.89,58.73,57.1
41.43,64.43,61.05
57.19,65.86,59.99
50.19,65.14,61.14
44.29,59.69,60.3
38.94,60.18,59.55
53.68,55.01,62.52
40.39,68.5,59.97
44.9,61.36,59.8
47.05,60.11,55.98
48.26,58.74,57.16
47.57,53.62,59.63
45.64,63.31,60.32
47.64,60.81,57.18
44.67,60.94,59.29
33.82,72.04,57.42
46.3,69.73,58.97
53.57,57.96,60.33
55.77,59.25,57.99
39.31,51.38,58.53
40.29,57.74,60.0
50.88,70.95,60.42
48.4,61.65,63.54
39.51,59.71,62.36
44.45,55.6,60.68
45.02,60.39,63.61
67.14,55.53,57.66
44.91,62.3,57.42
58.16,57.13,57.35
65.15,65.86,63.61
32.36,53.06,61.17
45.88,63.89,59.58
40.6,63.98,54.29
35.77,62.19,59.4
48.38,50.82,60.72
42.03,65.65,59.39
30.02,55.8,62.55
56.67,62.63,58.63
43.2,57.09,56.25
43.79,66.3,62.05
51.77,56.34,60.94
47.32,57.99,61.95
47.2,56.7,60.03
50.12,64.97,55.89
47.67,64.27,59.49
36.63,62.03,61.86
57.29,61.17,62.04
44.56,61.2,60.74
50.64,55.7,61.04
49.97,55.83,59.91
32.2,53.96,58.32
42.07,61.61,62.99
39.35,57.9,61.05
52.29,52.84,58.82
43.07,58.28,60.0
52.68,57.86,60.01
34.2,54.2,60.88
60.76,61.08,60.95
29.48,56.81,59.36
50.42,64.78,59.59
48.44,57.64,54.79
63.67,58.68,61.31
52.21,64.18,57.48
38.07,54.46,59.5
47.15,61.63,59.65
23.32,54.41,58.4
56.85,57.64,58.95
40.98,57.27,66.63
40.5,63.45,61.89
31.77,67.59,59.29
55.14,63.16,59.01
59.7,57.02,59.68
42.52,58.0,57.06
38.29,58.94,56.19
41.66,68.67,61.94
47.31,56.15,55.37
70.19,56.38,62.62
31.79,61.8,62.61
61.69,56.37,62.55
41.83,65.72,62.48
42.33,62.77,60.65
42.95,56.95,58.98
47.17,59.88,58.08
42.54,50.62,61.23
63.57,74.3,60.69
45.81,56.06,56.81
49.58,69.72,59.98
44.18,56.8,60.35
53.6,56.37,58.72
47.09,64.32,61.87
32.23,64.28,65.06
46.72,57.74,61.82
47.08,60.06,58.37
39.5,61.14,59.19
33.21,61.48,57.93
57.22,60.31,60.16
33.74,65.92,59.33
56.55,64.34,64.4
37.61,59.78,59.13
40.49,63.4,60.74
43.34,50.18,60.93
27.03,58.07,58.45
58.65,57.4,64.2
47.71,58.81,58.74
46.17,64.28,55.29
50.66,54.76,59.83
35.77,44.52,57.01
33.99,65.55,62.51
49.87,65.42,62.17
38.44,68.15,61.2
51.96,58.59,59.22
59.59,56.11,56.72
38.62,61.68,59.14
58.85,67.32,54.6
54.05,58.2,59.1
32.88,66.32,57.95
54.28,62.04,61.99
39.7,65.12,61.66
39.71,58.09,58.62
70.24,60.27,61.3
38.8,65.27,61.34
45.06,67.25,60.19
28.13,66.62,62.3
76.23,67.25,57.2
42.11,61.04,58.49
38.37,60.42,60.9
45.21,68.05,59.18
45.17,64.69,59.91
43.47,58.69,58.96
35.47,61.9,58.19
60.04,53.25,60.54
57.66,52.33,58.8
41.01,65.63,61.03
29.79,55.78,59.45
48.82,60.11,54.92
51.78,62.69,60.82
47.12,65.67,60.59
52.7,57.76,59.07
47.46,50.41,58.77
52.25,53.92,58.12
43.66,60.96,57.35
52.66,64.77,59.51
57.68,57.23,62.83
46.1,53.96,60.8
64.48,52.59,58.55
47.81,58.98,63.96
50.95,60.29,59.53
54.76,63.05,60.49
62.45,56.48,61.14
46.32,65.62,58.2
41.5,66.99,60.36
41.62,60.94,61.15
46.49,52.18,62.42
42.59,53.11,62.34
27.57,64.11,60.06
35.67,57.02,58.83
61.45,55.64,62.31
40.18,59.92,62.68
50.56,65.99,61.84
49.52,65.6,59.14
54.87,68.02,57.85
43.14,57.95,61.01
27.86,59.21,57.19
47.04,60.86,59.85
32.15,67.22,61.26
47.51,68.77,61.57
52.56,62.28,57.02
60.97,62.86,61.92
43.31,60.95,60.11
41.55,67.77,57.76
41.35,57.54,60.11
46.41,55.37,62.47
44.58,64.82,61.35
54.9,64.97,60.84
50.47,54.4,58.45
54.1,62.48,53.76
48.24,58.27,59.87
51.93,62.14,58.99
32.87,50.77,62.94
50.88,53.16,59.2
38.89,59.11,60.52
63.88,57.74,58.08
61.67,62.23,58.84
33.68,56.53,59.61
44.46,65.52,58.85
51.86,64.83,58.52
53.74,68.06,59.58
28.93,63.31,59.26
39.35,60.46,62.74
47.21,54.65,57.93
35.15,57.48,57.73
52.48,67.23,60.87
46.47,61.26,61.94
43.67,54.31,62.07
38.13,55.75,61.27
52.0,63.32,61.84
45.46,61.2,59.11
55.33,58.29,60.87
41.88,67.94,58.91
36.18,60.96,63.53
53.97,63.94,61.13
52.36,67.1,61.28
30.39,59.09,58.13
49.33,52.11,58.86
44.15,57.46,64.36
50.92,62.79,54.0
46.24,53.48,60.36
42.18,67.61,60.37
49.27,63.09,57.47
67.24,59.24,58.02
44.41,59.3,58.9
46.4,58.18,61.74
65.38,56.38,63.28
49.12,57.5,58.76
33.13,69.68,61.61
40.46,66.41,56.71
41.66,69.26,59.57
49.18,64.79,61.77
49.83,57.5,61.34
55.97,63.25,57.55
24.76,62.76,60.27
61.49,65.76,60.39
46.53,60.07,56.42
56.09,49.66,62.45
46.84,65.28,58.27
65.26,69.9,59.63
36.85,49.9,61.64
41.43,63.18,61.06
37.21,58.44,59.31
44.81,60.9,60.54
44.42,62.45,55.57
32.57,55.55,62.58
47.69,64.61,64.83
39.57,63.45,65.32
28.7,67.43,63.86
51.14,59.03,59.58
44.86,58.42,58.43
35.78,60.46,57.79
46.02,59.32,59.67
49.67,52.42,57.09
71.77,67.15,57.61
47.08,69.74,60.2
40.86,55.6,62.87
47.36,63.9,59.53
33.26,69.0,61.86
41.91,62.33,62.23
45.93,60.69,59.62
38.95,68.41,55.98
70.9,70.0,57.9
56.97,51.2,61.95
44.02,61.99,61.51
46.34,65.14,59.08
37.51,61.55,62.91
55.56,55.34,61.26
60.01,58.64,58.28
38.3,58.66,62.62
37.75,62.29,61.71
34.96,64.49,57.86
47.02,62.48,62.06
56.63,59.9,59.07
38.75,62.49,60.13
45.59,69.27,59.52
44.13,64.15,59.96
42.36,62.92,61.63
48.41,61.21,60.34
48.15,68.72,56.65
55.38,57.8,57.4
43.2,61.61,64.53
61.27,56.77,60.02
45.27,69.82,57.87
50.65,44.85,62.38
75.86,52.23,59.58
48.23,58.98,59.93
53.4,72.12,59.5
43.01,59.49,59.48
45.29,66.62,59.68
42.63,49.64,57.71
43.28,56.6,64.63
58.14,68.58,59.36
43.6,55.44,61.48
31.59,55.22,60.84
57.23,54.14,57.92
28.57,67.7,58.5
38.61,59.0,58.93
40.96,62.77,57.4
49.5,58.02,61.81
45.09,57.79,56.34
40.16,56.63,58.92
27.82,61.87,60.41
63.92,57.92,55.49
46.83,55.85,60.87
37.91,59.18,57.92
45.56,62.13,58.9
43.7,58.86,60.63
29.34,61.07,59.04
35.49,60.02,62.84
28.31,60.69,57.84
53.36,56.55,57.99
47.38,66.83,60.78
42.72,61.98,60.96
58.06,62.23,60.42
58.22,63.12,58.8
52.95,62.73,60.03
43.45,56.97,59.2
38.15,62.55,63.4
45.56,72.44,60.16
52.05,50.77,61.09
41.11,58.76,60.12
53.86,60.68,60.35
31.02,49.44,62.89
50.49,57.85,59.86
39.94,60.52,64.5
50.06,53.79,59.41
56.77,59.47,59.6
28.09,58.21,60.93
52.39,62.65,60.4
53.83,59.24,58.46
41.29,56.92,58.62
47.23,57.35,61.33
42.56,56.38,58.64
32.2,53.87,64.67
46.2,63.94,58.99
27.88,61.25,57.5
52.15,58.09,63.03
39.22,63.08,58.04
39.05,73.01,60.42
43.53,59.24,60.02
44.5,61.64,60.98
42.56,62.93,60.72
42.72,52.57,59.55
57.53,53.04,60.72
43.01,70.87,61.87
48.75,49.98,59.87
57.87,56.94,60.17
32.26,58.09,61.16
36.37,61.75,55.93
46.47,68.49,56.61
60.61,63.07,61.44
45.78,56.51,55.66
32.89,57.55,53.89
39.06,53.8,60.99
59.33,65.58,61.62
51.21,54.38,59.39
33.4,52.52,60.17
38.76,69.39,61.4
39.39,57.7,57.98
46.92,57.85,59.88
63.21,56.81,58.06
43.34,58.79,60.5
39.08,51.71,58.74
33.61,57.59,60.79
40.07,57.41,61.84
28.83,56.02,65.43
49.17,53.1,59.49
45.73,53.05,56.66
44.37,61.42,61.56
45.79,55.26,58.78
65.55,67.91,57.86
47.66,65.59,58.47
30.12,57.28,57.58
42.78,59.41,60.66
48.49,57.25,58.99
47.84,59.81,55.54
38.38,54.7,60.55
37.31,54.93,58.51
44.83,56.91,58.68
31.34,55.77,59.48
40.29,57.06,61.29
40.81,61.57,56.08
36.41,61.87,61.4
42.33,61.73,62.55
62.75,57.77,61.05
29.23,58.25,61.42
48.33,64.68,62.25
40.52,64.98,63.15
47.79,57.5,59.87
40.02,65.56,55.96
47.5,61.09,59.6
42.83,59.99,61.49
45.12,54.26,59.68
60.38,60.54,57.49
34.67,58.14,59.87
32.03,60.59,61.61
34.48,58.2,62.22
30.3,50.21,62.27
38.01,64.67,60.61
50.48,60.31,59.84
48.37,53.69,63.04
38.52,53.8,63.43
52.23,62.44,58.26
40.53,57.8,58.54
44.08,65.2,56.82
46.75,55.75,59.9
37.56,56.86,59.91
38.32,57.77,61.52
35.98,51.73,59.24
32.22,61.76,59.42
29.45,61.61,62.6
41.54,62.24,63.09
29.05,53.64,61.61
42.98,55.32,58.64
60.27,58.66,58.81
46.72,62.88,59.2
43.67,59.4,59.13
59.37,62.27,64.65
50.61,61.25,60.46
44.73,61.55,58.87
51.9,69.14,60.76
42.3,60.02,57.38
44.18,55.56,61.03
46.65,58.75,59.65
31.11,65.29,61.54
30.61,59.05,59.22
56.33,61.13,59.07
49.84,52.31,57.68
38.33,53.77,60.05
77.57,60.81,56.93
57.16,58.34,58.96
53.95,68.61,60.73
54.26,58.61,58.45
58.2,57.36,58.87
33.42,65.37,62.42
46.95,58.05,59.71
38.61,64.89,59.53
40.56,62.96,63.59
40.17,55.84,59.44
38.4,58.54,57.83
40.92,63.43,60.29
24.36,62.82,59.11
38.1,61.65,61.34
43.7,68.7,60.07
48.65,70.23,61.12
36.97,54.5,58.96
59.54,61.83,59.77
32.63,57.93,59.35
29.08,54.99,62.49
43.38,69.7,58.86
34.51,59.4,59.92
38.99,56.07,62.8
42.88,56.8,61.65
42.55,49.01,58.4
36.45,57.68,60.39
50.08,61.75,62.87
41.08,58.31,59.27
42.78,63.47,57.83
32.81,63.1,58.78
68.19,59.44,58.69
49.03,60.96,61.13
53.67,51.54,57.97
30.83,67.36,66.82
39.14,59.97,58.05
49.03,64.45,56.55
44.01,64.16,60.88
47.73,48.62,58.1
38.79,55.8,60.3
35.22,56.93,60.69
62.22,63.01,61.44
53.92,61.06,61.26
30.73,50.17,58.61
43.08,63.92,56.24
42.63,65.94,61.33
44.24,59.8,62.8
52.61,59.99,57.5
36.04,55.8,59.21
35.5,60.14,59.43
41.61,57.3,57.7
44.41,56.24,61.47
47.69,54.17,62.54
43.57,58.32,60.2
46.35,54.48,58.95
57.7,63.42,61.23
52.53,56.24,59.91
39.29,55.94,60.64
44.02,62.89,60.08
56.01,57.89,63.89
40.22,59.59,61.72
46.07,57.35,60.69
44.51,55.02,59.71
58.7,59.86,62.35
26.31,64.99,61.39
54.9,60.4,56.94
34.59,66.61,59.45
42.53,64.62,60.51
43.54,49.36,60.5
59.23,61.93,59.04
54.94,64.89,62.12
46.66,75.27,57.92
39.51,53.06,62.53
47.14,64.65,57.56
34.76,59.55,61.46
48.66,64.77,62.18
57.43,63.15,59.11
31.84,76.75,63.18
51.06,72.28,64.62
30.77,61.41,60.14
52.78,65.29,61.66
41.94,58.08,60.33
56.66,57.77,59.88
57.36,62.52,57.95
48.93,68.31,63.61
42.5,46.16,61.49
47.92,64.54,61.09
34.23,66.45,59.98
47.96,64.2,61.3
54.55,50.77,58.72
49.98,68.61,59.51
34.92,64.39,58.45
43.15,69.79,63.76
32.46,50.99,57.49
40.88,72.0,61.05
19.32,55.69,59.96
34.31,70.72,59.22
52.91,63.08,55.28
47.63,62.77,61.71
52.39,51.03,60.2
65.19,63.51,56.92
37.2,57.21,59.86
33.62,63.14,60.47
58.72,62.63,59.41
43.39,54.87,59.44
43.55,62.16,60.38
42.95,57.78,64.29
50.86,53.14,62.86
38.24,69.5,56.4
54.4,62.87,61.79
40.63,65.07,58.28
41.85,59.96,61.14
56.85,57.1,60.28
53.1,53.5,61.86
39.53,64.97,58.71
36.58,67.89,63.39
45.27,67.36,56.54
53.05,61.89,60.75
37.32,63.88,61.6
57.42,48.66,58.32
61.57,60.66,61.54
38.09,65.23,60.36
28.73,55.2,60.32
41.87,59.48,61.77
45.12,58.52,57.34
56.64,63.95,60.82
43.83,57.57,61.45
39.79,60.36,62.45
47.21,72.81,58.37
44.36,77.42,61.85
31.53,53.69,60.57
55.87,64.39,60.68
55.94,56.82,59.56
30.54,64.67,60.84
24.9,66.21,56.96
47.02,61.93,62.49
36.47,58.06,58.15
49.38,58.41,60.77
49.16,68.49,59.41
38.87,58.36,61.02
47.18,57.4,61.61
52.79,60.66,62.93
66.74,57.52,59.46
46.73,54.22,59.04
51.86,60.79,59.05
39.37,56.35,58.18
28.5,58.92,60.13
38.33,66.7,60.38
58.62,58.66,56.36
55.56,62.07,60.63
50.77,61.28,58.44
35.34,60.97,60.81
48.08,68.63,59.62
30.91,68.42,58.14
39.97,69.55,59.4
47.47,62.01,60.73
64.31,51.06,59.56
42.57,58.12,59.95
36.68,62.72,61.91
35.98,64.2,58.91
64.33,49.75,58.05
39.08,67.97,57.61
33.74,58.35,62.54
55.74,58.37,61.97
43.27,64.27,63.31
45.04,53.02,57.25
48.14,51.64,60.18
56.61,58.28,61.2
58.3,61.7,62.65
54.8,63.85,56.93
42.51,60.71,60.01
31.49,56.78,58.07
40.9,62.07,57.42
39.63,67.99,61.6
53.35,63.75,61.56
52.8,60.94,61.54
39.22,56.87,57.72
46.07,69.91,58.95
36.9,55.11,61.09
36.75,57.91,60.41
42.54,59.95,58.61
42.99,50.54,60.88
42.8,65.4,60.77
34.94,53.32,60.61
49.4,57.07,62.38
40.29,64.25,59.23
58.46,58.72,60.92
46.71,63.34,61.01
47.04,55.46,55.12
44.53,58.03,59.7
61.29,59.01,60.54
60.2,47.64,59.35
47.49,68.42,60.88
49.41,68.63,61.42
42.02,62.62,62.43
45.85,63.8,59.64
63.96,66.51,57.27
40.49,57.23,58.79
60.71,66.54,60.22
38.43,68.19,61.21
37.98,65.48,61.24
43.52,57.93,62.73
55.18,57.99,59.47
51.98,56.81,58.02
55.76,62.63,59.49
37.16,58.72,61.82
53.43,47.19,59.06
24.08,52.38,68.15
48.47,65.46,60.51
45.11,61.13,56.31
49.65,56.94,61.18
70.01,56.29,58.4
46.96,50.97,60.69
37.84,67.07,58.91
56.53,49.39,59.41
48.12,61.29,58.74
62.05,69.64,59.94
50.08,69.55,57.26
35.66,51.99,59.72
48.89,60.77,62.89
63.95,60.22,60.41
49.11,63.79,60.67
34.47,63.81,60.43
26.32,53.61,60.26
49.13,58.16,56.42
46.08,61.54,59.26
31.84,60.32,58.78
33.11,65.39,58.86
36.13,58.03,59.9
46.76,58.53,61.39
47.04,66.69,61.58
55.79,54.27,59.75
33.48,58.51,61.38
42.48,62.71,61.18
63.58,67.66,58.91
38.9,51.71,57.95
41.75,60.13,58.72
22.25,52.78,62.26
45.33,55.34,60.1
59.35,60.31,60.49
36.16,64.04,60.83
49.18,57.8,64.95
35.88,64.99,57.67
28.7,57.46,58.21
50.31,60.92,60.57
47.0,58.41,56.79
37.52,62.37,57.35
51.94,65.21,58.66
37.6,64.18,60.0
34.44,59.37,57.7
41.63,52.77,59.55
43.94,57.99,62.46
47.24,53.94,63.13
32.74,61.41,59.26
40.07,54.68,60.82
40.15,58.72,58.64
56.41,61.27,60.17
44.48,61.99,61.58
45.05,59.52,63.52
45.51,65.82,57.85
41.78,53.6,58.56
66.23,57.0,58.36
55.73,51.47,60.3
66.11,63.05,59.03
31.51,54.47,55.3
30.7,62.83,56.28
35.25,62.69,58.86
37.45,68.83,61.71
54.22,53.69,58.44
46.31,64.2,57.65
35.26,58.61,62.87
54.49,61.64,58.23
48.34,61.43,59.45
65.91,65.34,56.92
48.47,48.91,60.51
46.82,52.05,60.58
36.0,66.39,65.0
28.04,64.77,61.25
52.42,55.03,60.52
35.69,55.59,57.32
45.36,58.73,58.78
36.1,57.86,62.75
45.63,52.43,61.5
53.72,62.6,58.55
52.23,45.94,62.51
43.56,61.76,61.81
54.59,57.56,59.58
57.48,49.27,58.59
44.06,65.16,62.03
59.51,63.87,57.5
55.49,56.2,57.36
38.59,58.11,59.76
58.02,56.9,57.44
42.65,61.55,60.44
57.7,58.73,62.92
45.16,59.97,58.47
34.01,65.45,59.22
42.36,51.54,62.24
48.57,58.21,58.56
44.68,61.79,60.49
39.82,61.44,58.88
56.39,50.23,59.93
55.79,58.31,63.35
38.12,50.94,62.95
56.99,58.17,58.66
42.32,68.77,60.71
54.29,64.8,61.65
41.69,71.15,60.66
40.69,66.14,56.36
45.24,59.62,64.76
52.46,61.26,60.14
51.86,56.97,60.13
